team,group,confederation,attack_strength,defense_strength,source_note,elo,elo_rank,elo_updated_at,fifa_rank,fifa_points,fifa_updated_at,recent_form,form_string,goals_for_last_n,goals_against_last_n,matches_counted,squad_strength,top_player_rating,squad_market_value_m,players_tracked,data_quality_score,phase2_data_sources
Spain,H,UEFA,98.0,98.0,Phase 4 realistic cached seed; refresh via connectors before production use,2155,1,2026-06-05,1,1950.8,2026-06-05,0.867,W-D-W-W-W,17,3,5,94.2,95.0,733.3,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Argentina,J,CONMEBOL,98.0,98.0,Phase 4 realistic cached seed; refresh via connectors before production use,2113,2,2026-06-05,2,1945.6,2026-06-05,0.867,W-W-W-D-W,16,3,5,93.4,95.0,725.8,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
France,I,UEFA,98.0,98.0,Phase 4 realistic cached seed; refresh via connectors before production use,2062,3,2026-06-05,3,1940.4,2026-06-05,0.867,W-D-W-W-W,10,2,5,93.2,95.0,697.7,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
England,L,UEFA,98.0,97.9,Phase 4 realistic cached seed; refresh via connectors before production use,2020,4,2026-06-05,4,1935.2,2026-06-05,0.667,D-W-W-L-W,13,7,5,93.1,95.0,714.6,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Brazil,C,CONMEBOL,98.0,96.4,Phase 4 realistic cached seed; refresh via connectors before production use,1988,5,2026-06-05,5,1930.0,2026-06-05,0.667,W-W-W-D-L,15,7,5,92.9,95.0,722.7,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Portugal,K,UEFA,98.0,95.4,Phase 4 realistic cached seed; refresh via connectors before production use,1968,6,2026-06-05,6,1924.8,2026-06-05,0.867,W-W-D-W-W,12,3,5,92.2,95.0,678.3,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Netherlands,F,UEFA,98.0,94.2,Phase 4 realistic cached seed; refresh via connectors before production use,1952,7,2026-06-05,8,1914.4,2026-06-05,0.667,W-W-L-D-W,12,6,5,90.5,94.2,666.5,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Belgium,G,UEFA,96.9,90.6,Phase 4 realistic cached seed; refresh via connectors before production use,1942,8,2026-06-05,9,1909.2,2026-06-05,0.667,W-W-D-W-L,9,8,5,89.6,93.2,618.3,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Germany,E,UEFA,98.0,92.7,Phase 4 realistic cached seed; refresh via connectors before production use,1935,9,2026-06-05,10,1904.0,2026-06-05,0.667,W-L-W-D-W,13,6,5,90.9,95.0,695.1,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Croatia,L,UEFA,90.7,91.2,Phase 4 realistic cached seed; refresh via connectors before production use,1902,10,2026-06-05,11,1898.8,2026-06-05,0.667,W-D-W-L-W,8,7,5,87.2,91.3,599.7,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Morocco,C,CAF,89.0,89.0,Phase 4 realistic cached seed; refresh via connectors before production use,1884,11,2026-06-05,12,1893.6,2026-06-05,0.733,W-D-W-W-D,12,5,5,85.6,89.0,570.9,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Colombia,K,CONMEBOL,90.4,87.2,Phase 4 realistic cached seed; refresh via connectors before production use,1876,12,2026-06-05,13,1888.4,2026-06-05,0.667,W-D-W-W-L,12,7,5,87.1,90.5,600.3000000000001,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Uruguay,H,CONMEBOL,89.2,88.0,Phase 4 realistic cached seed; refresh via connectors before production use,1868,13,2026-06-05,14,1883.2,2026-06-05,0.667,W-L-W-D-W,10,6,5,87.6,89.9,592.9,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Mexico,A,CONCACAF,82.9,85.5,Phase 4 realistic cached seed; refresh via connectors before production use,1858,14,2026-06-05,15,1878.0,2026-06-05,0.733,W-D-W-W-D,11,6,5,83.9,88.8,518.2,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
USA,D,CONCACAF,83.3,81.0,Phase 4 realistic cached seed; refresh via connectors before production use,1846,15,2026-06-05,16,1872.8,2026-06-05,0.667,W-D-L-W-W,10,6,5,84.0,87.4,548.1,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Senegal,I,CAF,86.0,86.4,Phase 4 realistic cached seed; refresh via connectors before production use,1840,16,2026-06-05,17,1867.6,2026-06-05,0.667,W-D-W-W-L,12,8,5,86.1,89.5,560.3,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Japan,F,AFC,84.6,84.2,Phase 4 realistic cached seed; refresh via connectors before production use,1838,17,2026-06-05,18,1862.4,2026-06-05,0.667,W-W-D-L-W,11,6,5,85.5,88.0,549.4,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Switzerland,B,UEFA,84.5,86.0,Phase 4 realistic cached seed; refresh via connectors before production use,1832,18,2026-06-05,19,1857.2,2026-06-05,0.667,D-W-W-L-W,10,8,5,85.8,89.7,557.9,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
IR Iran,G,AFC,83.3,82.2,Phase 4 realistic cached seed; refresh via connectors before production use,1822,19,2026-06-05,20,1852.0,2026-06-05,0.667,W-W-D-W-L,10,4,5,84.4,87.8,530.2,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Korea Republic,A,AFC,80.6,82.0,Phase 4 realistic cached seed; refresh via connectors before production use,1802,20,2026-06-05,22,1841.6,2026-06-05,0.667,W-D-W-W-L,12,8,5,82.9,85.8,489.1,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Ecuador,E,CONMEBOL,80.0,85.2,Phase 4 realistic cached seed; refresh via connectors before production use,1800,21,2026-06-05,23,1836.4,2026-06-05,0.533,D-W-W-D-L,11,8,5,84.0,87.2,510.09999999999997,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Türkiye,D,UEFA,83.9,79.1,Phase 4 realistic cached seed; refresh via connectors before production use,1796,22,2026-06-05,24,1831.2,2026-06-05,0.667,W-W-D-L-W,10,5,5,84.3,86.6,552.5,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Austria,J,UEFA,80.9,83.1,Phase 4 realistic cached seed; refresh via connectors before production use,1792,23,2026-06-05,25,1826.0,2026-06-05,0.667,W-D-W-W-L,12,6,5,84.7,87.2,506.2,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Australia,D,AFC,77.4,80.1,Phase 4 realistic cached seed; refresh via connectors before production use,1786,24,2026-06-05,26,1820.8,2026-06-05,0.667,W-L-W-D-W,14,5,5,82.1,85.7,474.5,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Algeria,J,CAF,81.4,78.0,Phase 4 realistic cached seed; refresh via connectors before production use,1778,25,2026-06-05,28,1810.4,2026-06-05,0.867,W-W-D-W-W,13,2,5,83.1,86.6,506.3,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Egypt,G,CAF,79.4,75.4,Phase 4 realistic cached seed; refresh via connectors before production use,1776,26,2026-06-05,28,1810.4,2026-06-05,0.733,W-D-W-W-D,12,7,5,81.2,85.2,495.9,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Canada,B,CONCACAF,75.0,78.0,Phase 4 realistic cached seed; refresh via connectors before production use,1768,27,2026-06-05,30,1800.0,2026-06-05,0.667,W-D-L-W-W,11,7,5,81.1,83.9,468.4,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Sweden,F,UEFA,77.2,79.1,Phase 4 realistic cached seed; refresh via connectors before production use,1762,28,2026-06-05,31,1794.8,2026-06-05,0.667,W-D-W-W-L,13,6,5,82.2,85.2,493.2,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Norway,I,UEFA,82.8,74.4,Phase 4 realistic cached seed; refresh via connectors before production use,1758,29,2026-06-05,32,1789.6,2026-06-05,0.667,W-W-W-D-L,10,8,5,83.7,86.9,550.3,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Paraguay,D,CONMEBOL,72.4,77.0,Phase 4 realistic cached seed; refresh via connectors before production use,1749,30,2026-06-05,37,1763.6,2026-06-05,0.533,D-W-D-L-W,9,5,5,80.0,82.7,455.4,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Panama,L,CONCACAF,72.0,71.6,Phase 4 realistic cached seed; refresh via connectors before production use,1745,31,2026-06-05,38,1758.4,2026-06-05,0.667,W-D-W-L-W,15,5,5,79.4,83.7,433.9,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Czechia,A,UEFA,74.8,77.1,Phase 4 realistic cached seed; refresh via connectors before production use,1743,32,2026-06-05,39,1753.2,2026-06-05,0.667,W-L-W-D-W,14,5,5,81.2,84.0,481.5,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Côte d'Ivoire,E,CAF,77.7,75.0,Phase 4 realistic cached seed; refresh via connectors before production use,1734,33,2026-06-05,41,1742.8,2026-06-05,0.667,W-W-D-L-W,11,6,5,82.0,86.3,478.8,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Scotland,C,UEFA,71.8,74.6,Phase 4 realistic cached seed; refresh via connectors before production use,1718,34,2026-06-05,44,1727.2,2026-06-05,0.667,W-W-L-D-W,12,7,5,79.7,83.6,431.40000000000003,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Tunisia,F,CAF,70.2,74.2,Phase 4 realistic cached seed; refresh via connectors before production use,1710,35,2026-06-05,45,1722.0,2026-06-05,0.533,D-W-L-W-D,9,8,5,79.4,83.5,450.5,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Uzbekistan,K,AFC,67.8,70.2,Phase 4 realistic cached seed; refresh via connectors before production use,1696,36,2026-06-05,48,1706.4,2026-06-05,0.733,W-D-W-D-W,11,2,5,78.0,81.1,382.6,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Congo DR,K,CAF,69.3,68.9,Phase 4 realistic cached seed; refresh via connectors before production use,1688,37,2026-06-05,50,1696.0,2026-06-05,0.533,D-W-W-L-D,9,7,5,77.8,80.1,393.0,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Qatar,B,AFC,63.6,65.6,Phase 4 realistic cached seed; refresh via connectors before production use,1670,38,2026-06-05,53,1680.4,2026-06-05,0.533,W-L-D-W-D,11,5,5,76.1,78.8,367.9,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Iraq,I,AFC,63.4,67.5,Phase 4 realistic cached seed; refresh via connectors before production use,1668,39,2026-06-05,55,1670.0,2026-06-05,0.667,W-W-D-L-W,13,7,5,75.9,78.7,394.0,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
South Africa,A,CAF,63.3,66.4,Phase 4 realistic cached seed; refresh via connectors before production use,1662,40,2026-06-05,56,1664.8,2026-06-05,0.667,W-W-D-L-W,11,3,5,76.4,78.8,378.0,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Saudi Arabia,H,AFC,62.9,67.1,Phase 4 realistic cached seed; refresh via connectors before production use,1654,41,2026-06-05,58,1654.4,2026-06-05,0.533,D-W-L-W-D,8,7,5,76.4,78.6,340.7,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Ghana,L,CAF,66.2,65.2,Phase 4 realistic cached seed; refresh via connectors before production use,1646,42,2026-06-05,60,1644.0,2026-06-05,0.533,L-W-D-W-D,11,6,5,77.7,80.2,403.59999999999997,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Jordan,J,AFC,59.2,64.0,Phase 4 realistic cached seed; refresh via connectors before production use,1634,43,2026-06-05,64,1623.2,2026-06-05,0.667,W-D-L-W-W,11,5,5,74.5,78.5,328.8,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Cabo Verde,H,CAF,61.0,61.8,Phase 4 realistic cached seed; refresh via connectors before production use,1618,44,2026-06-05,69,1597.2,2026-06-05,0.667,W-D-W-L-W,9,6,5,74.0,77.5,304.0,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Bosnia and Herzegovina,B,UEFA,62.6,62.1,Phase 4 realistic cached seed; refresh via connectors before production use,1606,45,2026-06-05,72,1581.6,2026-06-05,0.533,D-W-L-D-W,10,9,5,75.1,77.9,336.8,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Curaçao,E,CONCACAF,55.8,58.0,Phase 4 realistic cached seed; refresh via connectors before production use,1548,46,2026-06-05,82,1531.0,2026-06-05,0.533,W-D-W-L-D,10,6,5,71.5,75.2,240.4,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
Haiti,C,CONCACAF,56.8,58.0,Phase 4 realistic cached seed; refresh via connectors before production use,1544,47,2026-06-05,83,1526.5,2026-06-05,0.467,L-W-D-L-W,11,8,5,71.5,74.1,243.3,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
New Zealand,G,OFC,55.0,58.8,Phase 4 realistic cached seed; refresh via connectors before production use,1515,48,2026-06-05,88,1504.0,2026-06-05,0.533,W-W-D-L-D,10,6,5,70.6,73.9,276.6,5,1.0,Elo cache + FIFA ranking cache + historical results + players dataset
